"avg_price","grade"
142000,1
205666.666666667,3
214381.034482759,4
248523.97107438,5
301919.637389598,6
402590.262331589,7
542852.7656559,8
773513.18585086,9
1071771.07407407,10
1496841.72681704,11
2191222,12
3709615.38461538,13
